Source;Target;Weight
29;78;0.4730503763
29;67;0.3449581287
29;109;0.5951252278
29;13;0.4500432414
29;61;0.4934747497
29;94;0.6986945944
29;90;0.6986945944
29;44;0.3762714194
29;85;0.5951252278
29;89;0.5512263371
29;41;0.7705878587
29;52;0.6694047629
29;107;0.6448187094
29;106;0.5778036593
29;14;0.3453026924
29;65;0.6535600457
29;26;0.6694047629
29;111;0.7705878587
29;82;0.7395898773
29;21;0.5682216671
29;68;0.6694047629
29;39;0.7705878587
29;28;0.6694047629
29;12;0.6694047629
29;23;0.5845308965
29;50;0.6694047629
29;105;0.6986945944
29;58;0.6694047629
29;69;0.6694047629
29;59;0.8695270728
29;57;0.5093194669
29;70;0.6694047629
29;32;0.4365592323
29;101;0.8139430379
29;88;0.5468056779
29;16;0.6448187094
29;46;0.6091169501
29;71;0.5845308965
29;47;0.6694047629
29;25;0.6584620623
29;98;0.4779959663
29;73;0.6694047629
29;76;0.4596252336
29;77;0.7705878587
29;83;0.6448187094
29;97;0.6448187094
29;66;0.6448187094
29;80;0.5572985607
29;33;0.6986945944
29;34;0.6242702143
29;87;0.6109388897
29;84;0.6694047629
29;27;0.6448187094
29;53;0.6694047629
29;93;0.4693560785
29;64;0.5512263371
29;36;0.6448187094
29;96;0.6448187094
29;81;0.6448187094
29;48;0.6448187094
29;108;0.6694047629
29;31;0.5904674596
29;62;0.7705878587
29;99;0.7705878587
29;104;0.6694047629
29;30;0.5778036593
29;15;0.5477165685
29;75;0.7705878587
29;51;0.7705878587
29;37;0.43503918
29;63;0.6789867551
29;86;0.5778036593
29;92;0.4693560785
29;19;0.6694047629
29;43;0.6242702143
29;54;0.6448187094
29;79;0.3854640655
29;40;0.6448187094
29;56;0.5682216671
29;91;0.3805392999
29;17;0.6694047629
29;38;0.6631420379
29;60;0.6448187094
29;45;0.6741085408
29;22;0.4670500794
29;49;0.6448187094
29;100;0.7705878587
29;103;0.3367897914
29;110;0.6448187094
29;72;0.7705878587
29;102;0.5845308965
29;24;0.4848497492
29;35;0.6448187094
29;42;0.7705878587
29;55;0.493942132
29;95;0.6448187094
29;20;0.6694047629
29;18;0.5512263371
29;74;0.7705878587
78;67;0.7001394193
78;109;0.8245373691
78;13;0.6794553827
78;61;0.8193662089
78;94;0.8988169042
78;90;0.8988169042
78;44;0.73145271
78;85;0.8245373691
78;89;0.7806384785
78;41;1
78;52;0.8988169042
78;107;1
78;106;0.8072158006
78;14;0.7004839831
78;65;0.8536823556
78;26;0.8988169042
78;111;1
78;82;0.9397121872
78;21;0.7976338085
78;68;0.8988169042
78;39;1
78;28;0.8988169042
78;12;0.8988169042
78;23;0.9397121872
78;50;0.8988169042
78;105;0.8988169042
78;58;0.8988169042
78;69;0.8988169042
78;59;0.8988169042
78;57;0.8645007576
78;70;0.8988169042
78;32;0.7917405229
