Source;Target;Weight
61;31;0
61;32;0
61;12;0.0268937006
47;27;0.0540234563
47;32;0.0631272029
24;12;0.1021504843
24;107;0.1021504843
61;68;0.1158425764
61;87;0.119021091
88;99;0.1196471559
47;43;0.1312338242
61;73;0.1349261725
61;98;0.1350724105
61;83;0.1350724105
61;16;0.1350724105
24;55;0.1390451712
61;71;0.139113455
88;32;0.1515084218
24;58;0.1524747803
61;100;0.1560292433
61;89;0.1560292433
73;107;0.1568325106
47;45;0.1607912077
61;84;0.161966111
61;93;0.1660071556
61;19;0.1660071556
24;92;0.1729096596
88;12;0.1784021223
24;99;0.1809693597
24;68;0.1910993601
88;107;0.1933968661
47;107;0.1933968661
47;60;0.1934049172
47;81;0.1967217477
47;71;0.2022406579
47;59;0.2022406579
107;27;0.2101305165
24;31;0.2128306256
24;32;0.2128306256
88;55;0.2152968092
47;89;0.2191564462
47;73;0.2191564462
57;27;0.2199550063
61;108;0.2212334808
51;99;0.2225460956
47;86;0.2233557922
47;111;0.2233557922
87;31;0.2270459057
87;32;0.2270459057
14;99;0.2321890514
47;23;0.2333274912
47;77;0.2333274912
61;30;0.2352378467
61;45;0.2352378467
24;84;0.2372228947
61;17;0.2376809091
58;32;0.238451473
24;93;0.2412639393
24;19;0.2412639393
92;31;0.2416690548
92;32;0.2416690548
61;53;0.2498056598
60;32;0.2512405352
57;84;0.253451022
51;31;0.2544073614
51;32;0.2544073614
73;27;0.2584089053
86;32;0.2611439041
14;31;0.2640503172
14;32;0.2640503172
88;92;0.2641560415
45;32;0.2643579851
88;68;0.2673509982
73;32;0.2675126519
61;107;0.2678435051
61;60;0.2678515562
92;12;0.2685627554
24;47;0.268843108
88;87;0.2705295128
61;64;0.2709087307
61;81;0.2711683867
61;20;0.2726462523
61;35;0.2726462523
61;80;0.2726462523
47;48;0.2739144114
67;99;0.2757542161
61;59;0.2766872969
61;27;0.2766872969
47;94;0.2794510258
47;78;0.2794510258
47;96;0.2794510258
47;56;0.2794510258
47;84;0.2794510258
47;91;0.2794510258
47;33;0.2794510258
47;40;0.2794510258
47;101;0.2794510258
47;62;0.2794510258
88;27;0.2799785171
24;76;0.2809372469
24;43;0.2809372469
87;12;0.2860539801
87;107;0.2860539801
88;73;0.2864345943
88;98;0.2865808322
88;83;0.2865808322
88;16;0.2865808322
88;15;0.2906218768
88;71;0.2906218768
14;12;0.2909440178
73;84;0.291904921
60;73;0.2933214955
60;16;0.2934677335
61;86;0.2978024312
61;111;0.2978024312
34;12;0.3011963104
39;31;0.3024499018
39;32;0.3024499018
54;32;0.3024499018
91;32;0.3024499018
61;58;0.3031730573
66;74;0.3048317915
95;74;0.3048317915
92;55;0.3054574423
61;103;0.3067283053
88;100;0.3075376651
88;89;0.3075376651
67;31;0.3076154819
67;32;0.3076154819
61;23;0.3077741302
61;77;0.3077741302
24;30;0.3104946304
82;74;0.3120304481
24;17;0.3129376928
51;55;0.3134040573
88;84;0.3134745328
45;27;0.3142623129
34;107;0.3161910542
88;31;0.3174399717
88;93;0.3175155774
88;19;0.3175155774
87;47;0.317608188
57;32;0.321903965
61;21;0.3224618485
45;107;0.3233660594
25;31;0.3235425491
25;32;0.3235425491
95;99;0.3257886243
57;45;0.3267227576
61;46;0.3270039642
61;104;0.3270039642
14;55;0.3278387047
76;32;0.3281846463
39;12;0.3293436024
