Source;Target;Weight
14;76;0.8762097781
14;88;0.7576093198
14;19;0.8739483287
14;109;0.8480588586
14;105;0.6971651246
14;50;0.8480588586
14;83;0.5922291837
14;32;0.3150058422
14;96;0.8480588586
14;44;0.5714421195
14;42;0.8480588586
14;18;0.8480588586
14;100;0.7576093198
14;102;0.7198804742
14;34;0.7576093198
14;59;0.9643978675
14;91;0.8480588586
14;53;0.7576093198
14;33;0.7576093198
14;45;0.7576093198
14;84;0.8480588586
14;72;0.7576093198
14;22;0.6891480201
14;31;0.8480588586
14;80;0.7576093198
14;94;0.6050588558
14;69;0.8480588586
14;15;0.7576093198
14;37;0.8480588586
14;39;0.7576093198
14;97;0.7576093198
14;49;0.7083356484
14;87;0.8836609911
14;89;0.6178861096
14;46;0.5909161237
14;107;0.8480588586
14;93;0.8480588586
14;64;0.7294883577
14;51;0.7294883577
14;67;0.6618916583
14;35;0.7172626682
14;98;0.5878226413
14;82;0.8739483287
14;38;0.7576093198
14;27;0.7576093198
14;86;0.7576093198
14;16;0.7195241176
14;70;0.8246746573
14;36;0.7576093198
14;85;0.7576093198
14;103;0.7576093198
14;63;0.7294883577
14;25;0.7576093198
14;48;0.5960223537
14;110;0.6502300954
14;17;0.7576093198
14;20;0.8739483287
14;95;0.6580225036
14;104;0.8480588586
14;77;0.8208881974
14;40;0.9643978675
14;79;0.5037892036
14;26;0.8739483287
14;21;0.8480588586
14;74;0.7294883577
14;47;0.8077122071
14;61;0.6364839095
14;75;0.7294883577
14;68;0.7576093198
14;23;0.7556668136
14;111;0.8480588586
14;43;0.7576093198
14;28;0.7172626682
14;56;0.6050588558
14;29;0.8480588586
14;57;0.7304386586
14;90;0.8480588586
14;71;0.7576093198
14;92;0.6500097865
14;108;0.6364839095
14;41;0.7576093198
14;24;0.7294883577
14;52;0.6580225036
14;60;0.9643978675
14;13;0.8480588586
14;106;0.6250003811
14;54;0.7576093198
14;101;0.7172626682
14;99;0.8480588586
14;58;0.7576093198
14;65;0.7627488745
14;66;0.6580225036
14;73;0.9643978675
14;30;0.7576093198
14;78;0.7576093198
14;81;0.7576093198
14;55;0.7126459872
14;62;0.8461163524
14;12;0.7576093198
76;88;0.3439804844
76;19;0.7314119873
76;109;0.4649526155
76;105;0.5546287832
76;50;0.5773801061
76;83;0.3067427594
76;32;0.192088073
76;96;0.5773801061
76;44;0.6266628242
76;42;0.5930950266
76;18;0.4649526155
76;100;0.4869305673
76;102;0.5773441327
76;34;0.5221189583
76;59;0.4383415415
76;91;0.4344300232
76;53;0.4869305673
76;33;0.4869305673
76;45;0.4869305673
76;84;0.5773801061
76;72;0.4869305673
76;22;0.3182957156
76;31;0.4649526155
76;80;0.3439804844
76;94;0.1914300204
76;69;0.7055225172
76;15;0.4869305673
76;37;0.5773801061
76;39;0.4869305673
76;97;0.4869305673
76;49;0.3104217335
76;87;0.2697387506
76;89;0.4876037069
76;46;0.189541227
