a1;a2;weight
38;53;0.9846105669470723
38;51;0.9775982775267349
38;39;0.9971655901092208
38;57;1
38;56;1
38;40;1
38;23;1
38;21;0.9846105669470723
38;65;0.9846105669470723
38;54;1
38;41;0.9839402369977978
38;44;1
38;69;1
38;30;0.9788447108623393
38;27;0.9920806032863706
38;36;0.9964207294006017
38;48;1
38;58;1
38;26;0.9846105669470723
38;24;1
38;47;1
38;63;1
38;52;0.971077293476358
38;67;1
38;62;0.9872586243342145
38;42;0.9852422860036587
38;46;1
38;43;0.9900787233441964
38;49;0.9846105669470723
38;31;1
38;22;1
38;32;1
38;50;1
38;20;1
38;60;0.9900787233441964
38;37;0.9653554489078706
38;28;0.9884178543560539
38;55;1
38;35;1
38;66;1
38;61;1
38;45;0.9938615136536012
38;25;0.9807457734669257
38;29;1
38;68;1
38;64;1
38;34;1
38;33;0.9900787233441964
38;59;0.9953230245778802
53;51;0.964055584133397
53;39;0.9836228967158829
53;57;0.9972065272508182
53;56;0.9836638338574804
53;40;0.9864573066066621
53;23;0.9864573066066621
53;21;0.9864573066066621
53;65;0.9864573066066621
53;54;0.9864573066066621
53;41;0.9703975436044598
53;44;0.9836638338574804
53;69;0.9864573066066621
53;30;0.9806914505219291
53;27;0.975744437143851
53;36;0.9828780360072638
53;48;0.9864573066066621
53;58;0.9864573066066621
53;26;0.9864573066066621
53;24;0.9864573066066621
53;47;0.9864573066066621
53;63;0.9864573066066621
53;52;0.9729240331359478
53;67;0.9864573066066621
53;62;0.9737159309408766
53;42;0.9780830626662895
53;46;0.9836638338574804
53;43;0.9765360299508585
53;49;0.9864573066066621
53;31;0.9864573066066621
53;22;0.9864573066066621
53;32;0.9836638338574804
53;50;0.9864573066066621
53;20;0.9864573066066621
53;60;0.9765360299508585
53;37;0.9644087158182786
53;28;0.974875160962716
53;55;0.9864573066066621
53;35;0.9864573066066621
53;66;0.9917165054538759
53;61;0.9864573066066621
53;45;0.9775253475110816
53;25;0.9672030800735878
53;29;0.9864573066066621
53;68;0.9864573066066621
53;64;0.9864573066066621
53;34;0.9917165054538759
53;33;0.9765360299508585
53;59;0.9817803311845423
51;39;0.9971655901092208
51;57;0.9972065272508182
51;56;0.9972065272508182
51;40;1
51;23;1
51;21;0.9846105669470723
51;65;0.9846105669470723
51;54;1
51;41;0.9839402369977978
51;44;0.9972065272508182
51;69;1
51;30;0.9788447108623393
51;27;0.9892871305371888
51;36;1
51;48;1
51;58;1
51;26;0.9846105669470723
51;24;1
51;47;1
51;63;1
51;52;0.9846105669470723
51;67;1
51;62;0.9872586243342145
51;42;0.9852422860036587
51;46;0.9972065272508182
51;43;0.9900787233441964
51;49;0.9846105669470723
51;31;1
51;22;1
51;32;0.9972065272508182
51;50;1
51;20;1
51;60;0.9900787233441964
51;37;0.9625619761586888
51;28;0.9884178543560539
51;55;1
51;35;1
51;66;0.9948525797230617
51;61;1
51;45;0.9910680409044195
51;25;0.9807457734669257
51;29;1
51;68;1
51;64;1
51;34;0.9948525797230617
51;33;0.9900787233441964
51;59;0.9953230245778802
39;57;0.9810428313750398
39;56;0.9810428313750398
39;40;0.9838363041242216
39;23;0.9838363041242216
39;21;0.9684468710712939
39;65;0.9684468710712939
39;54;0.9838363041242216
39;41;0.9677765411220193
39;44;0.9810428313750398
39;69;0.9838363041242216
39;30;0.9626810149865609
39;27;0.9731234346614104
39;36;0.9802570335248232
39;48;0.9838363041242216
39;58;0.9838363041242216
39;26;0.9684468710712939
39;24;0.9838363041242216
39;47;0.9838363041242216
39;63;0.9838363041242216
39;52;0.9549135976005796
39;67;0.9838363041242216
39;62;0.971094928458436
39;42;0.9774528340682528
39;46;0.9810428313750398
39;43;0.9739150274684181
39;49;0.9684468710712939
39;31;0.9838363041242216
39;22;0.9838363041242216
39;32;0.9810428313750398
39;50;0.9838363041242216
39;20;0.9838363041242216
39;60;0.9739150274684181
39;37;0.9463982802829104
39;28;0.9722541584802754
39;55;0.9838363041242216
39;35;0.9838363041242216
39;66;0.9786888838472834
39;61;0.9838363041242216
39;45;0.974904345028641
39;25;0.9645820775911473
39;29;0.9838363041242216
39;68;0.9838363041242216
39;64;0.9838363041242216
39;34;0.9786888838472834
39;33;0.9739150274684181
39;59;0.9791593287021018
57;56;0.9864573066066621
57;40;0.9864573066066621
57;23;0.9864573066066621
57;21;0.9710678735537344
57;65;0.9710678735537344
57;54;0.9864573066066621
57;41;0.9703975436044598
57;44;0.9864573066066621
57;69;0.9864573066066621
57;30;0.9653020174690013
57;27;0.9785379098930327
57;36;0.9828780360072638
57;48;0.9864573066066621
57;58;0.9864573066066621
57;26;0.9710678735537344
57;24;0.9864573066066621
57;47;0.9864573066066621
57;63;0.9864573066066621
57;52;0.95753460008302
57;67;0.9864573066066621
57;62;0.9737159309408766
57;42;0.9716995926103208
57;46;0.9864573066066621
57;43;0.9765360299508585
57;49;0.9710678735537344
57;31;0.9864573066066621
57;22;0.9864573066066621
57;32;0.9864573066066621
57;50;0.9864573066066621
57;20;0.9864573066066621
57;60;0.9765360299508585
57;37;0.9518127555145327
57;28;0.974875160962716
57;55;0.9864573066066621
57;35;0.9864573066066621
57;66;0.9917165054538759
57;61;0.9864573066066621
57;45;0.9803188202602634
57;25;0.9672030800735878
57;29;0.9864573066066621
57;68;0.9864573066066621
57;64;0.9864573066066621
57;34;0.9917165054538759
57;33;0.9765360299508585
57;59;0.9817803311845423
56;40;1
56;23;1
56;21;0.9846105669470723
56;65;0.9846105669470723
56;54;1
56;41;0.9839402369977978
56;44;1
56;69;1
56;30;0.9788447108623393
56;27;0.9920806032863706
56;36;0.9964207294006017
56;48;1
56;58;1
56;26;0.9846105669470723
56;24;1
56;47;1
56;63;1
56;52;0.971077293476358
56;67;1
56;62;0.9872586243342145
56;42;0.9852422860036587
56;46;1
56;43;0.9900787233441964
56;49;0.9846105669470723
56;31;1
56;22;1
56;32;1
56;50;1
56;20;1
56;60;0.9900787233441964
56;37;0.9653554489078706
56;28;0.9884178543560539
56;55;1
56;35;1
56;66;0.9948525797230617
56;61;1
56;45;0.9938615136536012
56;25;0.9807457734669257
56;29;1
56;68;1
56;64;1
56;34;0.9948525797230617
56;33;0.9900787233441964
56;59;0.9953230245778802
40;23;0.9911958219532565
40;21;0.9758063889003288
40;65;0.9758063889003288
40;54;0.9911958219532565
40;41;0.992329600598242
40;44;0.9884023492040747
40;69;0.9911958219532565
40;30;0.9700405328155958
40;27;0.9804829524904453
40;36;0.9876165513538581
40;48;0.9911958219532565
40;58;0.9911958219532565
40;26;0.9758063889003288
40;24;0.9911958219532565
40;47;0.9911958219532565
40;63;0.9911958219532565
40;52;0.9622731154296145
40;67;0.9911958219532565
40;62;0.9784544462874709
40;42;0.9764381079569151
40;46;0.9884023492040747
40;43;0.9984680869446407
40;49;0.9758063889003288
40;31;0.9911958219532565
40;22;0.9911958219532565
40;32;0.9884023492040747
40;50;0.9911958219532565
40;20;0.9911958219532565
40;60;0.9984680869446407
40;37;0.9537577981119453
40;28;0.9796136763093103
40;55;0.9911958219532565
40;35;0.9911958219532565
40;66;0.9860484016763182
40;61;0.9911958219532565
40;45;0.982263862857676
40;25;0.9719415954201822
40;29;1
40;68;0.9911958219532565
40;64;0.9911958219532565
40;34;0.9860484016763182
40;33;0.9984680869446407
40;59;0.9865188465311366
23;21;0.9707914716226996
23;65;0.9707914716226996
23;54;0.9861809046756274
23;41;0.970121141673425
23;44;0.9833874319264455
23;69;0.9861809046756274
23;30;0.9650256155379666
23;27;0.9754680352128161
23;36;0.9826016340762289
23;48;0.9861809046756274
23;58;0.9861809046756274
23;26;0.9707914716226996
23;24;0.9861809046756274
23;47;0.9861809046756274
23;63;1
23;52;0.9572581981519853
23;67;0.9861809046756274
23;62;0.9734395290098418
23;42;0.971423190679286
23;46;0.9833874319264455
23;43;0.9762596280198238
23;49;0.9707914716226996
23;31;0.9861809046756274
23;22;0.9861809046756274
23;32;0.9833874319264455
23;50;0.9861809046756274
23;20;0.9861809046756274
23;60;0.9762596280198238
23;37;0.9487428808343161
23;28;0.9745987590316811
23;55;0.9861809046756274
23;35;0.9861809046756274
23;66;0.9810334843986891
23;61;0.9861809046756274
23;45;0.9772489455800468
23;25;0.9669266781425531
23;29;0.9861809046756274
23;68;0.9861809046756274
23;64;0.9861809046756274
23;34;0.9810334843986891
23;33;0.9762596280198238
23;59;0.9953230245778802
21;65;0.9798936743564244
21;54;0.9798936743564244
21;41;0.963833911354222
21;44;0.9926937455017769
21;69;0.9798936743564244
21;30;0.9741278182716914
21;27;0.9691808048936131
21;36;0.9763144037570259
21;48;0.9798936743564244
21;58;0.9798936743564244
21;26;0.9798936743564244
21;24;0.9798936743564244
21;47;0.9798936743564244
21;63;0.9798936743564244
21;52;0.96636040088571
21;67;0.9798936743564244
21;62;0.9671522986906388
21;42;0.9715194304160518
21;46;0.9771002016072425
21;43;0.9699723977006208
21;49;0.9798936743564244
21;31;0.9798936743564244
21;22;0.9798936743564244
21;32;0.9771002016072425
21;50;0.9798936743564244
21;20;0.9798936743564244
21;60;0.9699723977006208
21;37;0.9578450835680409
21;28;0.9683115287124782
21;55;0.9798936743564244
21;35;0.9798936743564244
21;66;0.9747462540794861
21;61;0.9798936743564244
21;45;0.9709617152608438
21;25;0.9606394478233501
21;29;0.9798936743564244
21;68;0.9798936743564244
21;64;0.9798936743564244
21;34;0.9747462540794861
21;33;0.9699723977006208
21;59;0.9752166989343045
65;54;1
65;41;0.9839402369977978
65;44;0.9972065272508182
65;69;1
65;30;0.994234143915267
65;27;0.9892871305371888
65;36;0.9964207294006017
65;48;1
65;58;1
65;26;1
65;24;1
65;47;1
65;63;1
65;52;0.9864667265292857
65;67;1
65;62;0.9872586243342145
65;42;0.9916257560596274
65;46;0.9972065272508182
65;43;0.9900787233441964
65;49;1
65;31;1
65;22;1
65;32;0.9972065272508182
65;50;1
65;20;1
65;60;0.9900787233441964
65;37;0.9779514092116165
65;28;0.9884178543560539
65;55;1
65;35;1
65;66;0.9948525797230617
65;61;1
65;45;0.9910680409044195
65;25;0.9807457734669257
65;29;1
65;68;1
65;64;1
65;34;0.9948525797230617
65;33;0.9900787233441964
65;59;0.9953230245778802
54;41;0.9815563939816925
54;44;0.9948226842347129
54;69;0.9976161569838947
54;30;0.976460867846234
54;27;0.9869032875210835
54;36;0.9940368863844963
54;48;0.9976161569838947
54;58;0.9976161569838947
54;26;0.9846105669470723
54;24;0.9976161569838947
54;47;0.9976161569838947
54;63;0.9976161569838947
54;52;0.9686934504602527
54;67;0.9976161569838947
54;62;0.9848747813181091
54;42;0.9828584429875533
54;46;0.9948226842347129
54;43;0.9876948803280912
54;49;0.982226723930967
54;31;0.9976161569838947
54;22;0.9976161569838947
54;32;0.9948226842347129
54;50;0.9976161569838947
54;20;0.9976161569838947
54;60;0.9900787233441964
54;37;0.9601781331425835
54;28;0.9860340113399486
54;55;0.9976161569838947
54;35;0.9976161569838947
54;66;0.9924687367069565
54;61;0.9976161569838947
54;45;0.9886841978883142
54;25;0.9783619304508204
54;29;0.9976161569838947
54;68;0.9976161569838947
54;64;0.9976161569838947
54;34;0.9924687367069565
54;33;0.9876948803280912
54;59;0.9929391815617749
41;44;0.9874381539708639
41;69;0.9902316267200457
41;30;0.969076337582385
41;27;0.9795187572572345
41;36;0.9866523561206473
41;48;0.9902316267200457
41;58;0.9902316267200457
41;26;0.974842193667118
41;24;0.9902316267200457
41;47;0.9902316267200457
41;63;0.9902316267200457
41;52;0.9613089201964037
41;67;0.9902316267200457
41;62;0.9774902510542601
41;42;0.9754739127237043
41;46;0.9874381539708639
41;43;0.9902316267200457
41;49;0.974842193667118
41;31;0.9902316267200457
41;22;0.9902316267200457
41;32;0.9874381539708639
41;50;0.9902316267200457
41;20;0.9902316267200457
41;60;0.9902316267200457
41;37;0.9527936028787345
41;28;0.9786494810760995
41;55;0.9902316267200457
41;35;0.9902316267200457
41;66;0.9850842064431075
41;61;0.9902316267200457
41;45;0.9874381539708639
41;25;0.9709774001869714
41;29;0.9902316267200457
41;68;0.9902316267200457
41;64;0.9902316267200457
41;34;0.9850842064431075
41;33;0.9902316267200457
41;59;0.9953230245778802
44;69;0.9844064561054656
44;30;0.9632511669678049
44;27;0.9764870593918362
44;36;0.9808271855060673
44;48;0.9844064561054656
44;58;0.9844064561054656
44;26;0.9690170230525379
44;24;0.9844064561054656
44;47;0.9844064561054656
44;63;0.9844064561054656
44;52;0.9554837495818236
44;67;0.9844064561054656
44;62;0.97166508043968
44;42;0.9696487421091243
44;46;0.9844064561054656
44;43;0.9744851794496621
44;49;0.9690170230525379
44;31;0.9844064561054656
44;22;0.9844064561054656
44;32;0.9844064561054656
44;50;0.9844064561054656
44;20;0.9844064561054656
44;60;0.9744851794496621
44;37;0.9497619050133361
44;28;0.9728243104615195
44;55;0.9844064561054656
44;35;0.9844064561054656
44;66;0.9792590358285274
44;61;0.9844064561054656
44;45;0.9782679697590668
44;25;0.9651522295723913
44;29;0.9844064561054656
44;68;0.9844064561054656
44;64;0.9844064561054656
44;34;0.9792590358285274
44;33;0.9744851794496621
44;59;0.9797294806833459
69;30;0.9788447108623393
69;27;0.9892871305371888
69;36;0.9964207294006017
69;48;1
69;58;1
69;26;0.9846105669470723
69;24;1
69;47;1
69;63;1
69;52;0.971077293476358
69;67;1
69;62;0.9872586243342145
69;42;0.9852422860036587
69;46;0.9972065272508182
69;43;0.9900787233441964
69;49;0.9846105669470723
69;31;1
69;22;1
69;32;0.9972065272508182
69;50;1
69;20;1
69;60;0.9900787233441964
69;37;0.9625619761586888
69;28;0.9884178543560539
69;55;1
69;35;1
69;66;0.9948525797230617
69;61;1
69;45;0.9910680409044195
69;25;0.9807457734669257
69;29;1
69;68;1
69;64;1
69;34;0.9948525797230617
69;33;0.9900787233441964
69;59;0.9953230245778802
30;27;0.9567299340740467
30;36;0.9638635329374595
30;48;0.9674428035368579
30;58;0.9674428035368579
30;26;0.9674428035368579
30;24;0.9674428035368579
30;47;0.9674428035368579
30;63;0.9674428035368579
30;52;0.9539095300661435
30;67;0.9674428035368579
30;62;0.9547014278710724
30;42;0.9590685595964853
30;46;0.9646493307876761
30;43;0.9575215268810544
30;49;0.9674428035368579
30;31;0.9674428035368579
30;22;0.9674428035368579
30;32;0.9646493307876761
30;50;0.9674428035368579
30;20;0.9674428035368579
30;60;0.9575215268810544
30;37;0.9453942127484743
30;28;0.9558606578929117
30;55;0.9674428035368579
30;35;0.9674428035368579
30;66;0.9788571502118937
30;61;0.9674428035368579
30;45;0.9770474353337721
30;25;0.9762822357197973
30;29;0.9674428035368579
30;68;0.9674428035368579
30;64;0.9674428035368579
30;34;0.9622953832599196
30;33;0.9575215268810544
30;59;0.9627658281147381
27;36;0.9964207294006017
27;48;1
27;58;1
27;26;0.9846105669470723
27;24;1
27;47;1
27;63;1
27;52;0.971077293476358
27;67;1
27;62;0.9872586243342145
27;42;0.9852422860036587
27;46;1
27;43;0.9900787233441964
27;49;0.9846105669470723
27;31;1
27;22;1
27;32;1
27;50;1
27;20;1
27;60;0.9900787233441964
27;37;0.9653554489078706
27;28;0.9884178543560539
27;55;1
27;35;1
27;66;0.9948525797230617
27;61;1
27;45;0.9938615136536012
27;25;0.9807457734669257
27;29;1
27;68;1
27;64;1
27;34;0.9948525797230617
27;33;0.9900787233441964
27;59;0.9953230245778802
36;48;1
36;58;1
36;26;0.9846105669470723
36;24;1
36;47;1
36;63;1
36;52;0.9838996837909106
36;67;1
36;62;0.9872586243342145
36;42;0.9852422860036587
36;46;0.9972065272508182
36;43;0.9900787233441964
36;49;0.9846105669470723
36;31;1
36;22;1
36;32;0.9972065272508182
36;50;1
36;20;1
36;60;0.9900787233441964
36;37;0.9625619761586888
36;28;0.9884178543560539
36;55;1
36;35;1
36;66;0.9948525797230617
36;61;1
36;45;0.9910680409044195
36;25;0.9807457734669257
36;29;1
36;68;1
36;64;1
36;34;0.9948525797230617
36;33;0.9900787233441964
36;59;0.9953230245778802
48;58;1
48;26;0.9846105669470723
48;24;1
48;47;1
48;63;1
48;52;0.971077293476358
48;67;1
48;62;0.9872586243342145
48;42;0.9852422860036587
48;46;0.9972065272508182
48;43;0.9900787233441964
48;49;0.9846105669470723
48;31;1
48;22;1
48;32;0.9972065272508182
48;50;1
48;20;1
48;60;0.9900787233441964
48;37;0.9625619761586888
48;28;0.9884178543560539
48;55;1
48;35;1
48;66;0.9948525797230617
48;61;1
48;45;0.9910680409044195
48;25;0.9807457734669257
48;29;1
48;68;1
48;64;1
48;34;0.9948525797230617
48;33;0.9900787233441964
48;59;0.9953230245778802
58;26;0.9846105669470723
58;24;1
58;47;1
58;63;1
58;52;0.971077293476358
58;67;1
58;62;0.9872586243342145
58;42;0.9852422860036587
58;46;0.9972065272508182
58;43;0.9900787233441964
58;49;0.9846105669470723
58;31;1
58;22;1
58;32;0.9972065272508182
58;50;1
58;20;1
58;60;0.9900787233441964
58;37;0.9625619761586888
58;28;0.9884178543560539
58;55;1
58;35;1
58;66;0.9948525797230617
58;61;1
58;45;0.9910680409044195
58;25;0.9807457734669257
58;29;1
58;68;1
58;64;1
58;34;0.9948525797230617
58;33;0.9900787233441964
58;59;0.9953230245778802
26;24;0.9876948803280912
26;47;0.9876948803280912
26;63;0.9976161569838947
26;52;0.9741616068573768
26;67;0.9876948803280912
26;62;0.9749535046623057
26;42;0.9793206363877186
26;46;0.9849014075789094
26;43;0.9777736036722876
26;49;0.9876948803280912
26;31;0.9876948803280912
26;22;0.9876948803280912
26;32;0.9849014075789094
26;50;0.9876948803280912
26;20;0.9876948803280912
26;60;0.980157446688393
26;37;0.9656462895397077
26;28;0.9761127346841451
26;55;0.9876948803280912
26;35;0.9876948803280912
26;66;0.9825474600511529
26;61;0.9876948803280912
26;45;0.9787629212325106
26;25;0.9684406537950169
26;29;0.9876948803280912
26;68;0.9876948803280912
26;64;0.9876948803280912
26;34;0.9825474600511529
26;33;0.9777736036722876
26;59;0.9830179049059714
24;47;0.9855313562928096
24;63;0.9855313562928096
24;52;0.9566086497691676
24;67;0.9855313562928096
24;62;0.9727899806270242
24;42;0.9707736422964683
24;46;0.9827378835436279
24;43;0.9756100796370062
24;49;0.9701419232398819
24;31;0.9855313562928096
24;22;0.9855313562928096
24;32;0.9827378835436279
24;50;0.9855313562928096
24;20;0.9855313562928096
24;60;0.9756100796370062
24;37;0.9480933324514984
24;28;0.9739492106488635
24;55;0.9855313562928096
24;35;0.9855313562928096
24;66;0.9803839360158714
24;61;0.9855313562928096
24;45;0.9765993971972291
24;25;0.9662771297597353
24;29;0.9855313562928096
24;68;0.9855313562928096
24;64;0.9855313562928096
24;34;0.9803839360158714
24;33;0.9756100796370062
24;59;0.9808543808706899
47;63;1
47;52;0.971077293476358
47;67;1
47;62;0.9872586243342145
47;42;0.9852422860036587
47;46;0.9972065272508182
47;43;0.9900787233441964
47;49;0.9846105669470723
47;31;1
47;22;1
47;32;0.9972065272508182
47;50;1
47;20;1
47;60;0.9900787233441964
47;37;0.9625619761586888
47;28;0.9884178543560539
47;55;1
47;35;1
47;66;0.9948525797230617
47;61;1
47;45;0.9910680409044195
47;25;0.9807457734669257
47;29;1
47;68;1
47;64;1
