a1;a2;weight
57;52;1
57;33;0.9773390957973404
57;48;0.9912511055237824
57;54;0.985299856137667
57;47;1
57;35;0.9948531502664124
57;55;0.9794181462676198
57;39;1
57;49;1
57;62;1
57;69;0.9734631850726816
57;25;1
57;67;1
57;23;1
57;34;0.9883485756079881
57;40;1
57;32;0.9865776647242337
57;66;0.9983045501775882
57;42;0.9899692399422174
57;20;0.9741064408515103
57;53;1
57;31;0.9983659567007339
57;59;0.9835372465867961
57;65;0.9839959498482241
57;51;0.99639795525737
57;24;1
57;50;1
57;58;0.9983045501775882
57;56;0.9882364968127937
57;45;1
57;22;0.9864200378670691
57;36;0.992067226062844
57;29;0.9852718697344963
57;63;0.9884366606214352
57;28;1
57;21;0.9873208261935768
57;64;0.99639795525737
57;43;0.9951521535679209
57;30;0.9882364968127937
57;41;0.9828179931244391
57;37;1
57;68;1
57;26;0.9839959498482241
57;60;1
57;44;1
57;27;1
57;38;1
57;46;0.9868324354584492
57;61;1
52;33;0.9773390957973404
52;48;0.9912511055237824
52;54;0.985299856137667
52;47;1
52;35;0.9948531502664124
52;55;0.9794181462676198
52;39;1
52;49;1
52;62;1
52;69;0.9734631850726816
52;25;1
52;67;1
52;23;1
52;34;0.9883485756079881
52;40;1
52;32;0.9865776647242337
52;66;0.9983045501775882
52;42;0.9899692399422174
52;20;0.9741064408515103
52;53;1
52;31;0.9859471386740861
52;59;0.9835372465867961
52;65;0.9839959498482241
52;51;0.99639795525737
52;24;1
52;50;1
52;58;0.9983045501775882
52;56;0.9882364968127937
52;45;0.9875811819733522
52;22;0.9864200378670691
52;36;0.992067226062844
52;29;0.9852718697344963
52;63;0.9760178425947874
52;28;1
52;21;0.9873208261935768
52;64;0.99639795525737
52;43;0.9951521535679209
52;30;0.9882364968127937
52;41;0.9828179931244391
52;37;1
52;68;1
52;26;0.9839959498482241
52;60;1
52;44;1
52;27;1
52;38;1
52;46;0.9868324354584492
52;61;1
33;48;0.9912511055237824
33;54;0.985299856137667
33;47;1
