a1 a2 distance
35 54 0.3293886836761298
35 63 0.5004922509872263
35 49 0.4808533129710125
35 21 0.4188584518405502
35 46 0.5869830689412755
35 33 0.4041422448851099
35 66 0.40999744724751136
35 39 0.3361860065547452
35 42 0.3622187652071232
35 53 0.3437021884801566
35 57 0.3575764869833165
35 37 0.4730243408775805
35 25 0.5070406885832596
35 52 0.4164543101212172
35 47 0.34995751426459554
35 55 0.32465630605141144
35 45 0.3354443204902733
35 65 0.3050040429935673
35 27 0.3812346407101347
35 29 0.5131152652019364
35 50 0.537929771243848
35 38 0.44317754735132847
35 41 0.5594224107368555
35 62 0.44041129988556615
35 43 0.2893709344865133
35 26 0.5618937171392402
35 48 0.3822542632681213
35 40 0.44226355235662984
35 44 0.35090553077779263
35 36 0.3425596031962096
35 61 0.4240956327874953
35 58 0.3836156896385347
35 69 0.3624251598806766
35 32 0.4159816344379993
35 68 0.42325756565298145
35 56 0.3646880364119388
35 22 0.33718018331830346
35 28 0.35223218338621437
35 67 0.3519758764458916
35 30 0.2637308897283541
35 64 0.31046413510603643
35 31 0.37199257776517164
35 60 0.2770130147586934
35 51 0.32365023440391394
35 59 0.4405949192631102
35 23 0.3712909847865821
35 34 0.4438749813987414
35 24 0.4046923691357871
35 20 0.2412585721672733
54 63 0.4764326632563206
54 49 0.435273052660983
54 21 0.43264750962370674
54 46 0.5822125265261191
54 33 0.6054744557809218
54 66 0.45665320436869666
54 39 0.46627748311820316
54 42 0.44020226294434356
54 53 0.5072026449339991
54 57 0.42798834754015236
54 37 0.5338144753643972
54 25 0.39493386089991245
54 52 0.5192464828624165
54 47 0.3951276525137498
54 55 0.34880505985272164
54 45 0.4246793559930805
54 65 0.4045389140806714
54 27 0.49234449382101275
54 29 0.5630496146589398
54 50 0.5185584146182418
54 38 0.5539572216342383
54 41 0.4589559219993446
54 62 0.4717196377532796
54 43 0.36367834194382304
54 26 0.5096649710592434
54 48 0.3622236394539865
54 40 0.3891616755211335
54 44 0.2923612543249425
54 36 0.3975974326384636
54 61 0.38285714304165885
54 58 0.36203490481420725
54 69 0.4218704134641721
54 32 0.4464901611682491
54 68 0.4817535921903021
54 56 0.4715909204360463
54 22 0.3642232335355699
54 28 0.3783378475299418
54 67 0.39703202056593345
54 30 0.3606697053837504
54 64 0.4993114236505593
54 31 0.32439466700145725
54 60 0.32377615839935736
54 51 0.4315019746719454
54 59 0.4083332211353907
54 23 0.5108252760899801
54 34 0.4674973757817348
54 24 0.37993907763919166
54 20 0.40717747278876615
63 49 0.4826878021759241
63 21 0.6005872548558455
63 46 0.5963376613175703
63 33 0.5351833972794721
63 66 0.5884577218198884
63 39 0.4894800191377705
63 42 0.533554842929853
63 53 0.45613458140132684
63 57 0.5494222088996173
63 37 0.49819621143383924
63 25 0.42225614235216113
63 52 0.592241605045919
63 47 0.48447781200180196
63 55 0.43657299915202163
63 45 0.4928936172086805
63 65 0.41663440842606736
63 27 0.47955136015506195
63 29 0.5928097542871025
63 50 0.6144117951196933
63 38 0.6107689933901639
63 41 0.5365324438817239
63 62 0.4921177621438361
63 43 0.4352656500135502
63 26 0.5058934823677674
63 48 0.4771417928255263
63 40 0.5400371841705001
63 44 0.4584275879081149
63 36 0.4629795995240699
63 61 0.5477396665142649
63 58 0.44493431637082487
63 69 0.39376051161825465
63 32 0.5601300536138163
63 68 0.5533994713749383
63 56 0.4807629736888959
63 22 0.5931834301505648
63 28 0.45282946362377174
63 67 0.527855106390275
63 30 0.3651870612369366
63 64 0.47106779700234735
63 31 0.4502735215767739
63 60 0.4940753484937108
63 51 0.4712118933114894
63 59 0.5103549419019913
63 23 0.6283716778585148
63 34 0.4318576007864919
63 24 0.501455942037922
63 20 0.43473294947514846
49 21 0.47527302444049085
49 46 0.5210977241112463
49 33 0.41827496328309416
49 66 0.4993654416195731
49 39 0.37556400611756424
49 42 0.3761316235027688
49 53 0.4222514317033196
49 57 0.43796536991045054
49 37 0.48016143887487595
49 25 0.4031132194164481
49 52 0.5053571724191201
49 47 0.3973233119228332
49 55 0.39562725133860777
49 45 0.4124785108111325
49 65 0.3727354471034395
49 27 0.4598987579248071
49 29 0.46455022127166057
49 50 0.4997147434879846
49 38 0.394515274131247
49 41 0.45060062767940756
49 62 0.4186012573077288
49 43 0.40764048074551373
49 26 0.5788973108233082
49 48 0.36204524226542345
49 40 0.4556598290716091
49 44 0.36649012751808846
49 36 0.3721638468209956
49 61 0.47688684249634494
49 58 0.39929494141993616
49 69 0.30510488265829594
49 32 0.3258954568927174
49 68 0.35231440655041224
49 56 0.47325096754550533
49 22 0.2951558331364382
49 28 0.4214751693805331
49 67 0.39508529063403763
49 30 0.3018347065699507
49 64 0.4076752602850068
49 31 0.359546420699974
49 60 0.3976240214107373
49 51 0.3526887360326592
49 59 0.4667973187501828
49 23 0.46701695565608004
49 34 0.3607718008340266
49 24 0.43610549788584835
49 20 0.3123904752156413
21 46 0.5792579983333225
21 33 0.47494932724310945
21 66 0.5012299588668353
21 39 0.4495549320010692
21 42 0.5152899717055536
21 53 0.5436991163056075
21 57 0.43920362609138586
21 37 0.4680540429825892
21 25 0.4673643249705884
21 52 0.5009791049542619
21 47 0.39712322431949204
21 55 0.4149353342282286
21 45 0.32786476117542723
21 65 0.4767246619841349
21 27 0.4573202332709612
21 29 0.5247035030016465
21 50 0.5125843935714662
21 38 0.4936703577499599
21 41 0.5357618394909135
21 62 0.4423039662654908
21 43 0.3538313002103821
21 26 0.5625372818738602
21 48 0.44893602185027637
21 40 0.38167326697894444
21 44 0.368324601398181
21 36 0.4279897396537106
21 61 0.4707381943636048
21 58 0.48235365590198437
21 69 0.3747458456596908
21 32 0.5243955375889928
21 68 0.562695174426674
21 56 0.5387174184355839
21 22 0.4552105206585758
21 28 0.4613149400391948
21 67 0.4133979338758552
21 30 0.39919091240084537
21 64 0.48881401582861655
21 31 0.5597430060215749
21 60 0.4747130261485199
21 51 0.34028254457637924
21 59 0.4549670066931507
21 23 0.45605179475024027
21 34 0.489279314507476
21 24 0.48520345849889485
21 20 0.47227179002324055
46 33 0.5178267301250665
46 66 0.5256709754679803
46 39 0.5181339487236869
46 42 0.5503087755113226
46 53 0.6304231046928754
46 57 0.5477298028286484
46 37 0.5279871494279921
46 25 0.5022351763555957
46 52 0.5610218705363612
46 47 0.5179391626412376
46 55 0.4868632062188357
46 45 0.5284520498401422
46 65 0.4865947116697666
46 27 0.5527956790108345
46 29 0.7174257170497267
46 50 0.4529088164287076
46 38 0.5084451225642641
46 41 0.584274046327342
46 62 0.5340874349301116
46 43 0.49809052586976366
46 26 0.6364453616267076
46 48 0.5118774720064224
46 40 0.526987859093784
46 44 0.49750252657526123
46 36 0.451724999246567
46 61 0.5724853826827364
46 58 0.5036600165631773
46 69 0.5337363392672306
