a1;a2;weight
46;56;0.9853742734789774
46;35;0.9653994782780159
46;59;0.9737281698302368
46;27;0.9542744345510552
46;25;0.9917702119138229
46;26;0.9550301930297171
46;60;0.9853742734789774
46;44;0.9853742734789774
46;22;0.9699781370039912
46;32;0.9552394347342741
46;36;0.9664851248640238
46;33;0.9667671959202117
46;61;0.9552204193670482
46;65;0.9853742734789774
46;49;0.9750962585944143
46;42;0.941187341848699
46;37;0.9584942423362415
46;53;0.9899753427283657
46;41;0.9805291285198612
46;40;0.9723111225762712
46;30;0.9616426484951788
46;39;0.9752332469955314
46;68;0.9630230934661838
46;64;0.9627279193229377
46;38;0.9538581244178742
46;20;0.9744415517122159
46;55;0.9537128963513548
46;63;0.9760361592237428
46;62;0.9531601304707653
46;24;0.9549656613875037
46;28;0.9361921504362206
46;34;0.9579098908633062
46;50;0.9751499119294132
46;23;0.9639592383519988
46;43;0.9765113194500961
46;66;0.9775145108203468
46;48;0.9797477105204236
46;58;0.9661977078874001
46;31;0.982536193102357
46;57;0.9433567708228684
46;45;0.9693797086349247
46;69;0.9698404824628276
46;21;0.9695022944525349
46;29;0.9755631603160335
46;47;0.966476936094195
46;51;0.9430862585065106
46;67;0.964825333444113
46;52;0.9699222227906702
46;54;0.9853742734789774
56;35;0.9650413362888499
56;59;0.9733700278410709
56;27;0.9539162925618893
56;25;0.9863903876426465
56;26;0.9456781151164364
56;60;0.9959772392136711
56;44;0.9850161314898114
56;22;0.9696199950148252
56;32;0.9548812927451081
56;36;0.9603037881329468
56;33;0.971594424395652
56;61;0.9548622773778822
56;65;0.9850161314898114
56;49;0.9730517835069774
56;42;0.940829199859533
56;37;0.9581361003470754
56;53;0.9687756952330011
56;41;0.9685843322046569
56;40;0.9588256184842394
56;30;0.9612845065060127
56;39;0.9814400770503934
56;68;0.9626649514770177
56;64;0.9692414808966489
56;38;0.9534999824287083
56;20;0.9364427929812933
56;55;0.9533547543621889
56;63;0.9805566561803339
56;62;0.9528019884815994
56;24;0.9390893194255125
56;28;0.9358340084470546
56;34;0.9575517488741402
56;50;0.9747917699402472
56;23;0.9636010963628328
56;43;0.9801759382472589
56;66;0.9877441016615376
56;48;0.9772109561783681
56;58;0.9570613236490225
56;31;0.9683781265819691
56;57;0.9495636008777304
56;45;0.9755865386897867
56;69;0.9738784761534933
56;21;0.9667151885832822
56;29;0.9665550478232507
56;47;0.9654932475028506
56;51;0.9492930885613726
56;67;0.9419393528504777
56;52;0.973586841587833
56;54;0.9850161314898114
35;59;0.984337443522091
35;27;0.9648837082429094
35;25;0.9907928312796388
35;26;0.9593092468342211
35;60;0.9959835471708315
35;44;0.9959835471708315
35;22;0.9805874106958453
35;32;0.9799091967576247
35;36;0.9712712038139669
35;33;0.9825618400766721
35;61;0.9764333033255133
35;65;0.9959835471708315
35;49;0.9840191991879976
35;42;0.94590229261186
35;37;0.9691035160280955
35;53;0.9797431109140213
35;41;0.979551747885677
35;40;0.9657702733789306
35;30;0.9631624639276857
35;39;0.9858425206873855
35;68;0.9736323671580378
35;64;0.9743145736489759
35;38;0.9699278929966505
35;20;0.9435089526550501
35;55;0.964322170043209
35;63;0.9849590998173261
35;62;0.9743730144292304
35;24;0.9420831395366293
35;28;0.9522619190149968
35;34;0.9685191645551603
35;50;0.9857591856212674
35;23;0.974568512043853
35;43;0.9834916297695251
35;66;0.9790343262528537
35;48;0.9816133998153602
35;58;0.9734892342169648
35;31;0.9793455422629893
35;57;0.9431799375622514
35;45;0.9799889823267789
35;69;0.9804497561546818
35;21;0.9737813482570389
35;29;0.9709574914602429
35;47;0.9720645275040389
35;51;0.9536955321983648
35;67;0.9635103787981089
35;52;0.9805314964825244
35;54;0.9959835471708315
59;27;0.9457430271935163
59;25;0.9749803380904891
59;26;0.942528012263284
59;60;0.9792023125998943
59;44;0.9792023125998943
59;22;0.9638061761249082
59;32;0.9490674738551911
59;36;0.9521305227645739
59;33;0.965780605505735
59;61;0.9490484584879652
59;65;0.9792023125998943
59;49;0.9672379646170605
59;42;0.935015380969616
59;37;0.9523222814571584
59;53;0.9629618763430842
59;41;0.9627705133147398
59;40;0.9489890388079935
59;30;0.9554706876160957
59;39;0.9845950771325981
59;68;0.9568511325871006
59;64;0.9634276620067318
59;38;0.9476861635387912
59;20;0.9267277180841129
59;55;0.9475409354722718
59;63;0.9681778652463889
59;62;0.9469881695916823
59;24;0.9253019049656921
59;28;0.9300201895571375
59;34;0.9517379299842231
59;50;0.9689779510503302
59;23;0.9587560188547033
59;43;0.970339358571013
59;66;0.9713425499412637
59;48;0.964832165244423
59;58;0.9512475047591055
59;31;0.9625643076920521
