a1;a2;weight
62;42;0.9723821617601573
62;21;0.9644043222298111
62;25;0.9564838989103182
62;55;0.9437555243901061
62;52;0.9568271163698717
62;45;0.9693041667923075
62;34;0.9760639754560096
62;38;0.984462949579143
62;49;0.9741892564028802
62;61;0.9801009374125471
62;27;0.9487340348111615
62;51;0.9658027243121079
62;22;0.9801009374125471
62;40;0.9776155060198495
62;26;0.9853194601583314
62;68;0.940785503590001
62;35;0.9553477648204383
62;69;0.970686611773558
62;54;0.9567131525525189
62;46;0.9960095555770497
62;67;0.9514564051203505
62;50;0.9683320498708634
62;66;0.9819150683794994
62;31;0.9508726147715407
62;37;0.9783811018929698
62;20;0.9548839966745626
62;53;0.9372746958097068
62;65;0.9639251589755519
62;30;0.9729576971262078
62;23;0.9809944122618871
62;43;0.974889172763272
62;44;0.9624087442941128
62;60;0.9633549587262316
62;47;0.9688875152103988
62;63;0.9556432528804922
62;64;0.9773931374093014
62;48;0.9659460145062794
62;29;0.9538232861233632
62;57;0.958392310341147
62;28;0.96119947529038
62;32;0.9753496744394126
62;24;0.9724479686958328
62;58;0.9578583443983296
62;56;0.9370094093031526
62;41;0.9709018115387769
62;33;0.9564584259000766
62;59;0.9742054716400824
62;36;0.953946742647902
62;39;0.9398529546816444
42;21;0.9666842435722205
42;25;0.9597823876665854
42;55;0.9527417299913052
42;52;0.9447136472698
42;45;0.9726026555485747
42;34;0.9857095701997376
42;38;0.9868679634860703
42;49;0.9507370494883601
42;61;0.9833994261688145
42;27;0.9365225600802097
42;51;0.9597704425944136
42;22;0.9833994261688145
42;40;0.9744524021138178
42;26;0.9670055164483392
42;68;0.9546732684114823
42;35;0.9563755520494147
42;69;0.9739851005298252
42;54;0.9598865487442683
42;46;0.9838960864769779
42;67;0.9524841923493269
42;50;0.9716305386271307
42;66;0.9852135571357666
42;31;0.954171103527808
42;37;0.981679590649237
42;20;0.9552001786978336
42;53;0.9404480920014562
42;65;0.9662050803179613
42;30;0.9655115508521465
42;23;0.9833994261688145
42;43;0.9781876615195393
42;44;0.9572699374257585
42;60;0.958409307093958
42;47;0.9721860039666661
42;63;0.9589417416367595
42;64;0.9729824015232463
42;48;0.9513387456835188
42;29;0.9569966823151126
42;57;0.9672524553894761
42;28;0.9644979640466473
42;32;0.9631778229802583
42;24;0.9673091618274785
42;58;0.9659859280995612
42;56;0.9338463053971209
42;41;0.9770070613383846
42;33;0.9442584620727552
42;59;0.9775039603963498
42;36;0.9572452314041693
42;39;0.9468876660197318
21;25;0.9670056421119705
21;55;0.9343053898412118
21;52;0.926940372203424
21;45;0.9395425151903776
21;34;0.9583996898132602
21;38;0.9537142702486373
21;49;0.9288905543800933
21;61;0.9502141932460993
21;27;0.9390227703374912
21;51;0.9611270708300781
21;22;0.9552388450073137
21;40;0.9477287618534016
21;26;0.9341871139216453
21;68;0.9314302486959939
21;35;0.9214121824826176
21;69;0.9407998676071101
21;54;0.926826408386071
21;46;0.9517441542760777
21;67;0.9071500338451665
21;50;0.9384453057044155
21;66;0.9386549657253869
21;31;0.9353464912989923
21;37;0.9351209992388572
21;20;0.9170615843698693
21;53;0.933460977491735
21;65;0.9331764796450461
21;30;0.9192122827460907
21;23;0.9552703846925958
21;43;0.9266757087039104
21;44;0.9325220001276651
21;60;0.9393613321686267
21;47;0.939000771043951
21;63;0.9257565087140444
21;64;0.9397971686005312
21;48;0.90813374548036
21;29;0.9384222552153327
21;57;0.9330783396167176
21;28;0.9336672930266267
21;32;0.9454629302729648
21;24;0.9521818522439243
21;58;0.9727650656968893
21;56;0.9167432928512439
21;41;0.9199324842423419
21;33;0.898190366193795
21;59;0.9443187274736347
21;36;0.9264145603841487
21;39;0.9185444849114396
25;55;0.9362953775060692
25;52;0.9339550116294958
25;45;0.9618440199082705
25;34;0.9749509345594333
25;38;0.9761093278457661
25;49;0.9358468114470827
25;61;0.9726407905285102
25;27;0.9389916754962032
25;51;0.9636937664735136
25;22;0.9726407905285102
25;40;0.9701553591358125
25;26;0.9455376462692853
25;68;0.9316518565231989
25;35;0.9354720565641488
25;69;0.963226464889521
25;54;0.949127913103964
25;46;0.9731374508366737
25;67;0.931580696864061
25;50;0.9608719029868265
25;66;0.9610815630077978
25;31;0.9434124678875038
25;37;0.9575475965212681
25;20;0.9444415430575294
25;53;0.9443714158805562
25;65;0.9554464446776569
25;30;0.9366142282672871
25;23;0.9726407905285102
25;43;0.9540556673915703
25;44;0.9465113017854543
25;60;0.95212848145775
25;47;0.9614273683263619
25;63;0.9481831059964553
25;64;0.9622237658829421
25;48;0.9304352501982529
25;29;0.9462380466748084
25;57;0.9564938197491719
25;28;0.953739328406343
25;32;0.9524191873399541
25;24;0.9565505261871742
25;58;0.9765598247096151
25;56;0.9295492624191156
25;41;0.9422339889602348
25;33;0.9206169634762059
25;59;0.9667453247560456
25;36;0.9464865957638651
