a1;a2;weight
49;38;0.979941017643964
49;50;0.9690602778730952
49;20;0.9721530263133223
49;29;0.931964450841074
49;53;0.9728305656189494
49;60;0.9622139446971799
49;24;0.9830091745576949
49;42;0.9757850356146048
49;36;0.9475121001980101
49;48;0.9649456445444496
49;61;0.9709857773040315
49;35;0.9705415551262314
49;51;0.9830091745576949
49;21;0.960670407701356
49;43;0.9830091745576949
49;31;0.9572606539112849
49;64;0.9533931199487901
49;44;0.9830091745576949
49;52;0.9816298225208784
49;58;0.9779033797377265
49;63;0.9759311827713268
49;22;0.9572270679143664
49;28;0.9684483545997686
49;39;0.9609487217496859
49;54;0.935875268232496
49;37;0.9602870517847951
49;27;0.9694631325565989
49;23;0.9590190827393483
49;34;0.9443875013566179
49;66;0.9579890634781235
49;59;0.9805329364469296
49;69;0.9756056878055518
49;33;0.9766841103751843
49;32;0.9559644207983575
49;40;0.954739871759194
49;26;0.9766023482355787
49;67;0.9478391997663791
49;56;0.9567906567197753
49;41;0.967890971218467
49;68;0.966356367784882
49;57;0.9670921788709521
49;62;0.9483840722089971
49;25;0.9830091745576949
49;47;0.9830091745576949
49;30;0.95677325285072
49;65;0.9635800790679788
49;45;0.9419158810503866
49;46;0.9813096922180574
49;55;0.966356367784882
38;50;0.9621567872350211
38;20;0.9652495356752482
38;29;0.9365096896623671
38;53;0.9815451187759654
38;60;0.966759183518473
38;24;0.9830330007829675
38;42;0.9803302744358979
38;36;0.9671755423585311
38;48;0.9722693918241785
38;61;0.967535183304979
38;35;0.9750867939475245
38;51;0.9844862564652571
38;21;0.9515484439033706
38;43;0.987554413378988
38;31;0.961805892732578
38;64;0.9682534764422466
38;44;0.987554413378988
38;52;0.969346845078054
38;58;0.9824486185590195
38;63;0.9669899205852065
38;22;0.9617723067356595
38;28;0.9816843203528051
38;39;0.9520074595635656
38;54;0.9441750242522837
38;37;0.9648322906060882
38;27;0.9678771343174618
38;23;0.9680055415346738
38;34;0.9582541402826376
38;66;0.9491231247467382
38;59;0.9817364600115187
38;69;0.973055899334486
38;33;0.9834557220088451
38;32;0.9543862631291016
38;40;0.9531617140899381
38;26;0.9811475870568718
38;67;0.9425065248986286
38;56;0.9516039117321495
38;41;0.9663049729793299
38;68;0.9579555360034007
38;57;0.9716374176922452
38;62;0.9314469772025313
38;25;0.9844862564652571
38;47;0.9761056839196207
38;30;0.9613184916720131
38;65;0.9681253178892719
38;45;0.9360549697980182
38;46;0.9660564913596417
38;55;0.9533216400863775
50;20;0.9736041051040638
50;29;0.9279069587014879
50;53;0.9823957460383307
50;60;0.9581564525575939
50;24;0.9772522000784714
50;42;0.9719451352279774
50;36;0.9434546080584241
50;48;0.9608881524048636
50;61;0.9589324523440999
50;35;0.9818062178852501
50;51;0.9761011172573367
50;21;0.9278275096032635
50;43;0.9789516824181088
50;31;0.9380849584324709
50;64;0.9596507454813674
50;44;0.9789516824181088
50;52;0.9609480656765519
50;58;0.9740498391575174
50;63;0.9611054492281783
50;22;0.9380513724355525
50;28;0.9643908624601825
50;39;0.9434047286026864
50;54;0.9204540899521767
50;37;0.956229559645209
50;27;0.9592744033565827
50;23;0.9611565218148534
50;34;0.9403300092170317
50;66;0.9558425486844638
50;59;0.9731337290506394
50;69;0.949334965034379
50;33;0.9750705828009246
50;32;0.9457835321682224
50;40;0.9294407797898311
50;26;0.9574266527567648
50;67;0.9339037939377495
50;56;0.9430011807712703
50;41;0.9730243969170557
50;68;0.9493528050425214
50;57;0.963034686731366
50;62;0.9228442462416521
50;25;0.9912056804029828
50;47;0.9844602533484363
50;30;0.952715760711134
50;65;0.9595225869283928
50;45;0.9321698623643155
50;46;0.9574537603987625
50;55;0.9769983644137981
20;29;0.9543028535974241
20;53;0.9826133377912895
20;60;0.9736961992091575
20;24;0.9927919467300349
20;42;0.9872672901265823
20;36;0.9589943547099876
20;48;0.9764278990564272
20;61;0.9744721989956635
20;35;0.9820238096382089
20;51;0.9914232721559416
20;21;0.9433672562548271
20;43;0.9944914290696725
20;31;0.9536247050840345
20;64;0.9751904921329311
20;44;0.9944914290696725
20;52;0.9644604288254344
20;58;0.9742674309104762
20;63;0.973926936275891
20;22;0.953591119087116
20;28;0.9799306091117461
20;39;0.9698006234986225
20;54;0.9468499848481128
20;37;0.9717693062967726
20;27;0.9748141500081462
20;23;0.9766962684664171
20;34;0.9658345563491516
20;66;0.9560601404374226
20;59;0.9886734757022031
20;69;0.9648747116859426
20;33;0.9903927376995295
20;32;0.9613232788197861
20;40;0.9449805264413947
20;26;0.9729663994083284
20;67;0.9494435405893131
20;56;0.9585409274228339
20;41;0.9732419886700143
20;68;0.964892551694085
20;57;0.9818692047788533
20;62;0.9383839928932157
20;25;0.9914232721559416
20;47;1
20;30;0.9682555073626975
20;65;0.9750623335799563
20;45;0.9574568177434767
20;46;0.9729935070503262
20;55;0.9772159561667568
29;53;0.9708153730322997
29;60;0.9618982344501676
29;24;0.9809939819710451
29;42;0.9826934643106826
29;36;0.9623145932902257
29;48;0.9687356506806191
29;61;0.9526078792900429
29;35;0.9702258448792191
29;51;0.9796253073969517
29;21;0.9466874948350652
29;43;0.9826934643106826
29;31;0.9542943597565082
29;64;0.9801333759486492
29;44;0.9826934643106826
29;52;0.9526624640664445
29;58;0.9624694661514863
29;63;0.9799752047068316
29;22;0.9417931543281263
29;28;0.9681326443527564
29;39;0.9580026587396328
29;54;0.9501702234283508
29;37;0.9570063719512533
29;27;0.9630161852491564
29;23;0.9745079361163276
29;34;0.9540365915901619
29;66;0.9442621756784328
29;59;0.9768755109432132
29;69;0.9533224303965805
29;33;0.9785947729405398
29;32;0.9567494530038864
29;40;0.9331825616824049
29;26;0.9611684346493385
29;67;0.9544632615091886
29;56;0.9467429626638441
29;41;0.9765622272502524
29;68;0.9530945869350953
29;57;0.9700712400198636
29;62;0.9296541850479567
29;25;0.9796253073969517
29;47;0.9826934643106826
29;30;0.9564575426037077
29;65;0.964963851160604
29;45;0.9456588529844868
29;46;0.9611955422913363
29;55;0.9599094204774394
53;60;0.9551918883091368
53;24;0.9759871181696518
53;42;0.9687629792265617
53;36;0.940490043809967
53;48;0.9607020966148423
53;61;0.9559678880956428
53;35;0.9788416536367931
53;51;0.9729189612559209
53;21;0.9399811486940343
53;43;0.9759871181696518
53;31;0.9502385975232417
53;64;0.9566861812329104
53;44;0.9759871181696518
53;52;0.9731017047673227
53;58;0.9862034782482882
53;63;0.9554226253758703
53;22;0.9502050115263232
53;28;0.9701170251434689
53;39;0.9404401643542294
53;54;0.9326077290429474
53;37;0.953264995396752
53;27;0.9563098391081256
53;23;0.9526833866360689
53;34;0.9386664764707224
53;66;0.9528779844360068
53;59;0.9701691648021824
53;69;0.9614886041251498
53;33;0.9718884267995088
53;32;0.9428189679197654
53;40;0.9415944188806019
53;26;0.9708813233496834
53;67;0.9309392296892924
53;56;0.9400366165228132
53;41;0.9700598326685986
53;68;0.9463882407940644
53;57;0.960070122482909
53;62;0.919879681993195
53;25;0.9882411161545258
53;47;0.9759871181696518
53;30;0.9497511964626768
53;65;0.9565580226799357
53;45;0.9244876745886819
53;46;0.9544891961503055
53;55;0.9685252292350135
60;24;0.9879880638015314
60;42;0.9673452038588509
60;36;0.9441780632622248
60;48;0.9565058127886958
60;61;0.958731329526333
60;35;0.9662829401688784
60;51;0.9715011858882102
60;21;0.9234451699870957
60;43;0.9745693428019411
60;31;0.9337026188163031
60;64;0.9552684058651997
60;44;0.9745693428019411
60;52;0.9412435711617793
60;58;0.9594511394627132
60;63;0.9643173038669907
60;22;0.9336690328193846
60;28;0.9600085228440147
60;39;0.9390223889865187
60;54;0.9160717503360088
60;37;0.9661388395284549
60;27;0.9548920637404148
60;23;0.9512656112683582
60;34;0.9492987475285087
60;66;0.9361380541696912
60;59;0.9701492049756045
60;69;0.9449526254182112
60;33;0.9704706514317981
60;32;0.9517136464108857
60;40;0.9595740578322733
60;26;0.9715011858882102
60;67;0.9295214543215817
60;56;0.9386188411551025
60;41;0.9533199024022829
60;68;0.9449704654263537
60;57;0.9580873460943363
60;62;0.9277833067302109
60;25;0.9715011858882102
60;47;0.9745693428019411
60;30;0.9483334210949661
60;65;0.9551402473122249
60;45;0.927569930995189
60;46;0.9530714207825948
60;55;0.9517852989686979
24;42;0.9658889356074312
24;36;0.9376160001908365
24;48;0.955049544537276
24;61;0.9530938444765124
24;35;0.9606454551190577
24;51;0.9700449176367903
24;21;0.9512118697241666
24;43;0.9809399101958962
24;31;0.9473645539041112
24;64;0.9538121376137798
24;44;0.9731130745505212
24;52;0.9549055062495873
24;58;0.9758341153759278
24;63;0.9525485817567398
24;22;0.9473309679071927
24;28;0.958552254592595
24;39;0.9375661207350989
24;54;0.9336755718886929
24;37;0.9503909517776215
24;27;0.96126263113437
24;23;0.9498093430169383
24;34;0.947842479277089
24;66;0.9425086215636463
24;59;0.9751219568284268
24;69;0.9586145605060192
24;33;0.9690143831803784
24;32;0.9453342211810682
24;40;0.9592278754811326
24;26;0.9878841618014247
24;67;0.9334544829505953
24;56;0.9371625729036828
24;41;0.9596904697962382
24;68;0.9489034940553673
24;57;0.9571960788637784
24;62;0.9170056383740646
24;25;0.9778717532821654
24;47;0.9731130745505212
24;30;0.9547039884889214
24;65;0.9536839790608052
24;45;0.9261136627437692
24;46;0.9657199171804378
24;55;0.958155866362653
42;36;0.955879057330033
42;48;0.9690950599036858
42;61;0.9570730048962913
42;35;0.9746909704854676
42;51;0.984308024756159
42;21;0.9360344171020858
42;43;0.9871585899169311
42;31;0.9462918659312932
42;64;0.9678576529801897
42;44;0.9871585899169311
42;52;0.9538328182767694
42;58;0.9669345917577348
42;63;0.9665940971231497
42;22;0.9462582799343747
42;28;0.9725977699590048
42;39;0.9516116361015087
42;54;0.928660997450999
42;37;0.9644364671440313
42;27;0.9674813108554049
42;23;0.9638548583833482
42;34;0.948536916715854
42;66;0.9487273012846813
42;59;0.9813406365494618
42;69;0.9575418725332012
42;33;0.983277490299747
42;32;0.9612145786101348
42;40;0.9376476872886533
42;26;0.965633560255587
42;67;0.9421107014365717
42;56;0.9512080882700926
42;41;0.965909149517273
42;68;0.9575597125413438
42;57;0.9712415942301883
42;62;0.9310511537404744
42;25;0.9840904330032002
42;47;0.9997824082470412
42;30;0.9609226682099562
42;65;0.967729494427215
42;45;0.953000588193248
42;46;0.9782844862276949
42;55;0.9643745460836879
36;48;0.9910879522726778
36;61;0.9740140488726862
36;35;0.9815656595152317
36;51;0.9909651220329643
36;21;0.9580273094710777
36;43;0.9940332789466951
36;31;0.9531665549610573
36;64;0.9898505453491816
36;44;0.9940332789466951
36;52;0.9722785889548395
36;58;0.9789150756074673
36;63;0.9734687861529137
36;22;0.9531329689641388
36;28;0.9794724589887689
36;39;0.9603543548144347
36;54;0.9525219195031528
36;37;0.9713111561737954
36;27;0.974355999885169
36;23;0.9858477507523401
36;34;0.9563267292930212
36;66;0.9556019903144454
36;59;0.9882153255792258
36;69;0.9644165615629653
36;33;0.9899345875765523
36;32;0.9608651286968087
36;40;0.9496281711383858
36;26;0.9776140441053195
36;67;0.9659716234887256
36;56;0.9580827772998567
36;41;0.987902041886265
36;68;0.9644344015711078
36;57;0.9781162832599524
36;62;0.9379258427702384
36;25;0.9909651220329643
36;47;0.9981319703168381
36;30;0.9677973572397203
36;65;0.9746041834569791
36;45;0.951132558510086
36;46;0.9766340482974918
36;55;0.971249235113452
48;61;0.979980769925991
48;35;0.9875323805685365
48;51;0.9969318430862691
48;21;0.965072453094015
48;43;1
48;31;0.9734689251289876
48;64;0.9958172664024865
48;44;1
48;52;0.9666742283598382
48;58;0.9797760018408037
48;63;0.9811349895458561
48;22;0.9590996900174437
48;28;0.9854391800420738
48;39;0.9644530461845776
48;54;0.9566206108732958
48;37;0.9772778772271002
48;27;0.9814011435081063
48;23;0.991814471805645
48;34;0.9613783267989229
48;66;0.9615687113677502
48;59;0.9952604692021632
48;69;0.9714617051859026
48;33;0.9959013086298572
48;32;0.9668318497501136
48;40;0.9504890973717223
48;26;0.9784749703386559
48;67;0.971769797198506
48;56;0.9732654986207366
48;41;0.9938687629395698
48;68;0.9704011226244127
48;57;0.9840830043132572
48;62;0.9469607207372741
48;25;0.9969318430862691
48;47;1
48;30;0.9737640782930251
48;65;0.9822703868499214
48;45;0.9622165884608231
48;46;0.9785020779806537
48;55;0.9772159561667568
61;35;0.9574398105945822
61;51;0.9546445907682959
61;21;0.9065885748671815
61;43;0.9577127476820267
61;31;0.9168460236963889
61;64;0.9384118107452853
61;44;0.9577127476820267
61;52;0.9243869760418649
61;58;0.9374887495228305
61;63;0.9446664515135766
61;22;0.9168124376994704
61;28;0.9431519277241005
61;39;0.9221657938666044
61;54;0.8992151552160946
61;37;0.9349906249091269
61;27;0.9441667056809308
61;23;0.9495482236128084
61;34;0.9190910744809496
61;66;0.9338776982919236
61;59;0.9518947943145574
61;69;0.9280960302982969
61;33;0.9687532637762484
61;32;0.9439634187192494
61;40;0.908201845053749
61;26;0.9361877180206827
61;67;0.9197405781926935
61;56;0.9217622460351882
61;41;0.9425945443427989
61;68;0.9503287967618301
61;57;0.941795751995284
61;62;0.9162015507477166
61;25;0.9639659908730225
61;47;0.9577127476820267
61;30;0.9522773483473651
61;65;0.9382836521923106
61;45;0.9200347359800014
61;46;0.9423460627231106
61;55;0.94813565990024
35;51;0.9630436521707283
35;21;0.9149876362696139
35;43;0.9661118090844591
35;31;0.9252450850988212
35;64;0.9468108721477178
35;44;0.9661118090844591
35;52;0.9481081923429022
35;58;0.9612099658238678
35;63;0.9577419986346967
35;22;0.9252114991019028
35;28;0.9515509891265329
35;39;0.9324147963459332
35;54;0.907614216618527
35;37;0.9452396273884558
35;27;0.9589021494543964
35;23;0.9428080775508763
35;34;0.927490135883382
35;66;0.9406562286219811
35;59;0.9602938557169898
35;69;0.9364950917007293
35;33;0.9620131177143162
35;32;0.9443192894623881
35;40;0.9166009064561814
35;26;0.9445867794231151
35;67;0.9210639206040998
35;56;0.9301613074376206
35;41;0.960184523583406
35;68;0.9365129317088717
35;57;0.9459984255919868
35;62;0.9100043729080024
35;25;0.9783658070693332
35;47;0.9661118090844591
35;30;0.9523435068089477
35;65;0.9466827135947431
35;45;0.9191123972777071
35;46;0.9446138870651128
35;55;0.9586499201498209
51;21;0.948658235432196
51;43;0.9997824082470412
51;31;0.9589156842614034
51;64;0.9804814713102998
51;44;0.9997824082470412
51;52;0.9664566366068794
51;58;0.9795584100878449
51;63;0.9792179154532598
51;22;0.9588820982644849
51;28;0.985221588289115
51;39;0.9642354544316188
51;54;0.9412848157811091
51;37;0.9770602854741415
51;27;0.9801051291855151
51;23;0.9795468336271892
51;34;0.9611607350459642
51;66;0.9613511196147915
