a1;a2;weight
20;52;1
20;54;1
20;64;0.9869595110121555
20;33;0.9903857750465498
20;69;1
20;38;0.9978122189864667
20;58;1
20;39;1
20;61;0.9964055538150653
20;67;1
20;44;1
20;59;0.9950781787799994
20;40;1
20;68;0.985924051031881
20;32;0.9922651473251448
20;37;0.985313445592634
20;30;1
20;24;0.985313445592634
20;25;0.9964055538150653
20;57;1
20;36;0.985924051031881
20;46;1
20;27;1
20;50;1
20;45;1
20;31;1
20;51;1
20;29;1
20;47;0.9920421453115245
20;43;0.9840712635939096
20;26;0.9934615858873953
20;42;0.9831256645791007
20;55;0.9964055538150653
20;28;0.985313445592634
20;49;0.985924051031881
20;53;0.9930486917164828
20;35;1
20;56;0.971237496624515
20;63;1
20;62;0.9964055538150653
20;48;1
20;41;1
20;60;1
20;21;1
20;34;0.9829988632882295
20;65;1
20;23;0.9969408483685965
20;66;1
20;22;0.9920421453115245
52;54;1
52;64;0.9869595110121555
52;33;0.9903857750465498
52;69;1
52;38;0.9978122189864667
52;58;1
52;39;1
52;61;0.9964055538150653
52;67;1
52;44;1
52;59;0.9950781787799994
52;40;1
52;68;0.985924051031881
52;32;0.9922651473251448
52;37;0.985313445592634
52;30;1
52;24;0.985313445592634
52;25;0.9964055538150653
52;57;1
52;36;0.985924051031881
52;46;1
52;27;1
52;50;1
52;45;1
52;31;1
52;51;1
52;29;0.997055222671634
52;47;0.9920421453115245
52;43;0.9840712635939096
52;26;0.9934615858873953
52;42;0.9831256645791007
52;55;0.9964055538150653
52;28;0.985313445592634
52;49;0.985924051031881
52;53;0.9930486917164828
52;35;1
52;56;0.971237496624515
52;63;1
52;62;0.9964055538150653
52;48;1
52;41;1
52;60;1
52;21;1
52;34;0.9829988632882295
52;65;1
52;23;0.9969408483685965
52;66;1
52;22;0.9920421453115245
54;64;0.9714843909953397
54;33;0.9749106550297341
54;69;0.9845248799831843
54;38;0.9823370989696509
54;58;0.9845248799831843
54;39;0.9845248799831843
54;61;0.9809304337982496
54;67;0.9845248799831843
54;44;0.9845248799831843
54;59;0.9796030587631837
54;40;0.9845248799831843
54;68;0.9704489310150652
54;32;0.9767900273083291
54;37;0.9698383255758183
54;30;0.9845248799831843
54;24;0.9698383255758183
54;25;0.9809304337982496
54;57;0.9845248799831843
54;36;0.9704489310150652
54;46;0.9845248799831843
54;27;0.9845248799831843
54;50;0.9845248799831843
54;45;0.9845248799831843
54;31;0.9845248799831843
54;51;0.9845248799831843
54;29;0.9815801026548183
54;47;0.9765670252947087
54;43;0.9685961435770938
54;26;0.9779864658705795
54;42;0.9676505445622849
54;55;0.9809304337982496
54;28;0.9698383255758183
54;49;0.9704489310150652
54;53;0.9775735716996671
54;35;0.9845248799831843
54;56;0.9557623766076992
54;63;0.9845248799831843
54;62;0.9809304337982496
54;48;0.9845248799831843
54;41;0.9845248799831843
54;60;0.9845248799831843
54;21;0.9845248799831843
54;34;0.9675237432714138
54;65;0.9845248799831843
54;23;0.9814657283517808
54;66;0.9845248799831843
54;22;0.9765670252947087
64;33;0.9903857750465498
64;69;1
64;38;0.9978122189864667
64;58;1
64;39;1
64;61;0.9964055538150653
64;67;1
64;44;1
64;59;0.9950781787799994
64;40;1
64;68;0.985924051031881
64;32;0.9922651473251448
64;37;0.985313445592634
64;30;1
64;24;0.985313445592634
64;25;0.9964055538150653
64;57;1
64;36;0.985924051031881
64;46;1
64;27;1
64;50;1
64;45;1
64;31;1
64;51;1
64;29;0.997055222671634
64;47;0.9920421453115245
64;43;0.9840712635939096
64;26;0.9934615858873953
64;42;0.9831256645791007
64;55;0.9964055538150653
64;28;0.985313445592634
64;49;0.985924051031881
64;53;0.9930486917164828
64;35;1
64;56;0.971237496624515
64;63;1
64;62;0.9964055538150653
64;48;1
64;41;1
64;60;1
64;21;1
64;34;0.9829988632882295
64;65;1
64;23;0.9969408483685965
64;66;1
64;22;0.9920421453115245
33;69;0.9878671279278557
33;38;0.9856793469143224
33;58;0.9878671279278557
33;39;0.9878671279278557
33;61;0.984272681742921
33;67;0.9878671279278557
33;44;0.9878671279278557
33;59;0.9829453067078551
33;40;0.9878671279278557
33;68;0.9737911789597367
33;32;0.9856793469143224
33;37;0.9731805735204897
33;30;0.9878671279278557
33;24;0.9731805735204897
33;25;0.984272681742921
33;57;0.9878671279278557
33;36;0.9737911789597367
33;46;0.9878671279278557
33;27;0.9878671279278557
33;50;0.9878671279278557
33;45;0.9878671279278557
33;31;0.9878671279278557
33;51;0.9878671279278557
33;29;0.9849223505994897
33;47;0.9799092732393802
33;43;0.9719383915217653
33;26;0.981328713815251
33;42;0.9709927925069564
33;55;0.984272681742921
33;28;0.9731805735204897
33;49;0.9737911789597367
33;53;0.9809158196443386
33;35;0.9878671279278557
33;56;0.9591046245523707
33;63;0.9878671279278557
33;62;0.984272681742921
33;48;0.9878671279278557
33;41;0.9878671279278557
33;60;0.9878671279278557
33;21;0.9878671279278557
33;34;0.984272681742921
33;65;0.9878671279278557
33;23;0.9848079762964523
33;66;0.9878671279278557
33;22;0.9799092732393802
69;38;0.9978122189864667
69;58;1
69;39;1
69;61;0.9964055538150653
69;67;1
69;44;1
69;59;0.9950781787799994
69;40;1
69;68;0.985924051031881
69;32;0.9922651473251448
69;37;0.985313445592634
69;30;1
69;24;0.985313445592634
69;25;0.9964055538150653
69;57;1
69;36;0.985924051031881
69;46;1
69;27;1
69;50;1
69;45;1
69;31;1
69;51;1
69;29;0.997055222671634
69;47;0.9920421453115245
69;43;0.9840712635939096
69;26;0.9934615858873953
69;42;0.9831256645791007
69;55;0.9964055538150653
69;28;0.985313445592634
69;49;0.985924051031881
69;53;0.9930486917164828
69;35;1
69;56;0.971237496624515
69;63;1
69;62;0.9964055538150653
69;48;1
69;41;1
69;60;1
69;21;1
69;34;0.9829988632882295
69;65;1
69;23;0.9969408483685965
69;66;1
69;22;0.9920421453115245
38;58;1
38;39;1
38;61;0.9964055538150653
38;67;1
38;44;1
38;59;0.9950781787799994
38;40;1
38;68;0.985924051031881
38;32;0.9944529283386782
38;37;0.985313445592634
38;30;1
38;24;0.985313445592634
38;25;0.9964055538150653
38;57;1
38;36;0.985924051031881
38;46;1
38;27;1
38;50;1
38;45;1
38;31;1
38;51;1
38;29;0.997055222671634
38;47;0.9920421453115245
38;43;0.9840712635939096
38;26;1
38;42;0.985313445592634
38;55;0.9964055538150653
38;28;0.985313445592634
38;49;0.985924051031881
38;53;0.9930486917164828
38;35;1
38;56;0.971237496624515
38;63;1
38;62;0.9964055538150653
38;48;1
38;41;1
38;60;1
38;21;1
38;34;0.9829988632882295
38;65;1
38;23;0.9969408483685965
38;66;1
38;22;0.9920421453115245
58;39;1
58;61;0.9964055538150653
58;67;1
58;44;1
58;59;0.9950781787799994
58;40;1
58;68;0.985924051031881
58;32;0.9922651473251448
58;37;0.985313445592634
58;30;1
58;24;0.985313445592634
58;25;0.9964055538150653
58;57;1
58;36;0.985924051031881
58;46;1
58;27;1
58;50;1
58;45;1
58;31;1
58;51;1
58;29;0.997055222671634
58;47;0.9920421453115245
58;43;0.9840712635939096
58;26;0.9934615858873953
58;42;0.9831256645791007
58;55;0.9964055538150653
58;28;0.985313445592634
58;49;0.985924051031881
58;53;0.9930486917164828
58;35;1
58;56;0.971237496624515
58;63;1
58;62;0.9964055538150653
58;48;1
58;41;1
58;60;1
58;21;1
58;34;0.9829988632882295
58;65;1
58;23;0.9969408483685965
58;66;1
